"Experiment Accession","Experiment Title","Organism Name","Instrument","Submitter","Study Accession","Study Title","Sample Accession","Sample Title","Total Size, Mb","Total RUNs","Total Spots","Total Bases","Library Name","Library Strategy","Library Source","Library Selection"
"SRX2676328","GSM2551351: 23B Young HIIT PostTraining; Homo sapiens; RNA-Seq","Homo sapiens","Illumina HiSeq 2000","GEO","SRP102542","Enhanced Protein Translation Underlies Improved Metabolic and Physical Adaptations to Different Exercise Training Modes in Young and Old Humans","SRS2074833","","1773.16","1","28925695","2950420890","","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX2676327","GSM2551350: 23A Young HIIT PreTraining; Homo sapiens; RNA-Seq","Homo sapiens","Illumina HiSeq 2000","GEO","SRP102542","Enhanced Protein Translation Underlies Improved Metabolic and Physical Adaptations to Different Exercise Training Modes in Young and Old Humans","SRS2074832","","1488.34","1","24274325","2475981150","","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX2676326","GSM2551349: 22B Old HIIT PostTraining; Homo sapiens; RNA-Seq","Homo sapiens","Illumina HiSeq 2000","GEO","SRP102542","Enhanced Protein Translation Underlies Improved Metabolic and Physical Adaptations to Different Exercise Training Modes in Young and Old Humans","SRS2074831","","1089.03","1","17656796","1800993192","","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX2676325","GSM2551348: 22A Old HIIT PreTraining; Homo sapiens; RNA-Seq","Homo sapiens","Illumina HiSeq 2000","GEO","SRP102542","Enhanced Protein Translation Underlies Improved Metabolic and Physical Adaptations to Different Exercise Training Modes in Young and Old Humans","SRS2074830","","904.91","1","14712334","1500658068","","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX2676324","GSM2551347: 21C Young Combined PostTraining; Homo sapiens; RNA-Seq","Homo sapiens","Illumina HiSeq 2000","GEO","SRP102542","Enhanced Protein Translation Underlies Improved Metabolic and Physical Adaptations to Different Exercise Training Modes in Young and Old Humans","SRS2074828","","1264.98","1","20649593","2106258486","","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX2676323","GSM2551346: 21B Young Combined PreTraining; Homo sapiens; RNA-Seq","Homo sapiens","Illumina HiSeq 2000","GEO","SRP102542","Enhanced Protein Translation Underlies Improved Metabolic and Physical Adaptations to Different Exercise Training Modes in Young and Old Humans","SRS2074827","","588.41","1","9596122","978804444","","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX2676322","GSM2551345: 20C Old Combined PostTraining; Homo sapiens; RNA-Seq","Homo sapiens","Illumina HiSeq 2000","GEO","SRP102542","Enhanced Protein Translation Underlies Improved Metabolic and Physical Adaptations to Different Exercise Training Modes in Young and Old Humans","SRS2074829","","482.42","1","7879266","803685132","","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX2676321","GSM2551344: 20B Old Combined PreTraining; Homo sapiens; RNA-Seq","Homo sapiens","Illumina HiSeq 2000","GEO","SRP102542","Enhanced Protein Translation Underlies Improved Metabolic and Physical Adaptations to Different Exercise Training Modes in Young and Old Humans","SRS2074825","","1478.08","1","24051560","2453259120","","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX2676320","GSM2551343: 1C Old Combined PostTraining; Homo sapiens; RNA-Seq","Homo sapiens","Illumina HiSeq 2000","GEO","SRP102542","Enhanced Protein Translation Underlies Improved Metabolic and Physical Adaptations to Different Exercise Training Modes in Young and Old Humans","SRS2074826","","1383.15","1","22001876","2244191352","","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX2676319","GSM2551342: 1B Old Combined PreTraining; Homo sapiens; RNA-Seq","Homo sapiens","Illumina HiSeq 2000","GEO","SRP102542","Enhanced Protein Translation Underlies Improved Metabolic and Physical Adaptations to Different Exercise Training Modes in Young and Old Humans","SRS2074824","","1658.88","1","26361062","2688828324","","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX2676318","GSM2551341: 19B Young Resistance PostTraining; Homo sapiens; RNA-Seq","Homo sapiens","Illumina HiSeq 2000","GEO","SRP102542","Enhanced Protein Translation Underlies Improved Metabolic and Physical Adaptations to Different Exercise Training Modes in Young and Old Humans","SRS2074823","","1095.37","1","17229603","1757419506","","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX2676317","GSM2551340: 19A Young Resistance PreTraining; Homo sapiens; RNA-Seq","Homo sapiens","Illumina HiSeq 2000","GEO","SRP102542","Enhanced Protein Translation Underlies Improved Metabolic and Physical Adaptations to Different Exercise Training Modes in Young and Old Humans","SRS2074821","","1686.89","1","26537964","2706872328","","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX2676316","GSM2551339: 18B Young HIIT PostTraining; Homo sapiens; RNA-Seq","Homo sapiens","Illumina HiSeq 2000","GEO","SRP102542","Enhanced Protein Translation Underlies Improved Metabolic and Physical Adaptations to Different Exercise Training Modes in Young and Old Humans","SRS2074822","","1329.25","1","20836022","2125274244","","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX2676315","GSM2551338: 18A Young HIIT PreTraining; Homo sapiens; RNA-Seq","Homo sapiens","Illumina HiSeq 2000","GEO","SRP102542","Enhanced Protein Translation Underlies Improved Metabolic and Physical Adaptations to Different Exercise Training Modes in Young and Old Humans","SRS2074820","","1400.89","1","21904228","2234231256","","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX2676314","GSM2551337: 17B Young HIIT PostTraining; Homo sapiens; RNA-Seq","Homo sapiens","Illumina HiSeq 2000","GEO","SRP102542","Enhanced Protein Translation Underlies Improved Metabolic and Physical Adaptations to Different Exercise Training Modes in Young and Old Humans","SRS2074819","","881.95","1","13783139","1405880178","","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX2676313","GSM2551336: 17A Young HIIT PreTraining; Homo sapiens; RNA-Seq","Homo sapiens","Illumina HiSeq 2000","GEO","SRP102542","Enhanced Protein Translation Underlies Improved Metabolic and Physical Adaptations to Different Exercise Training Modes in Young and Old Humans","SRS2074818","","1370.84","1","21479165","2190874830","","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX2676312","GSM2551335: 16B Young Resistance PostTraining; Homo sapiens; RNA-Seq","Homo sapiens","Illumina HiSeq 2000","GEO","SRP102542","Enhanced Protein Translation Underlies Improved Metabolic and Physical Adaptations to Different Exercise Training Modes in Young and Old Humans","SRS2074817","","1356.11","1","21249979","2167497858","","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX2676311","GSM2551334: 16A Young Resistance PreTraining; Homo sapiens; RNA-Seq","Homo sapiens","Illumina HiSeq 2000","GEO","SRP102542","Enhanced Protein Translation Underlies Improved Metabolic and Physical Adaptations to Different Exercise Training Modes in Young and Old Humans","SRS2074815","","1681.76","1","26366308","2689363416","","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX2676310","GSM2551333: 15B Young Resistance PostTraining; Homo sapiens; RNA-Seq","Homo sapiens","Illumina HiSeq 2000","GEO","SRP102542","Enhanced Protein Translation Underlies Improved Metabolic and Physical Adaptations to Different Exercise Training Modes in Young and Old Humans","SRS2074816","","1757.7","1","27483732","2803340664","","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX2676309","GSM2551332: 15A Young Resistance PreTraining; Homo sapiens; RNA-Seq","Homo sapiens","Illumina HiSeq 2000","GEO","SRP102542","Enhanced Protein Translation Underlies Improved Metabolic and Physical Adaptations to Different Exercise Training Modes in Young and Old Humans","SRS2074814","","1408.01","1","22000590","2244060180","","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX2676308","GSM2551331: 14C Young Combined PostTraining; Homo sapiens; RNA-Seq","Homo sapiens","Illumina HiSeq 2000","GEO","SRP102542","Enhanced Protein Translation Underlies Improved Metabolic and Physical Adaptations to Different Exercise Training Modes in Young and Old Humans","SRS2074813","","1653.97","1","26564722","2709601644","","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX2676307","GSM2551330: 14B Young Combined PreTraining; Homo sapiens; RNA-Seq","Homo sapiens","Illumina HiSeq 2000","GEO","SRP102542","Enhanced Protein Translation Underlies Improved Metabolic and Physical Adaptations to Different Exercise Training Modes in Young and Old Humans","SRS2074812","","1660.8","1","26282970","2680862940","","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX2676306","GSM2551329: 13B Young Resistance PostTraining; Homo sapiens; RNA-Seq","Homo sapiens","Illumina HiSeq 2000","GEO","SRP102542","Enhanced Protein Translation Underlies Improved Metabolic and Physical Adaptations to Different Exercise Training Modes in Young and Old Humans","SRS2074811","","1644.87","1","25998503","2651847306","","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX2676305","GSM2551328: 13A Young Resistance PreTraining; Homo sapiens; RNA-Seq","Homo sapiens","Illumina HiSeq 2000","GEO","SRP102542","Enhanced Protein Translation Underlies Improved Metabolic and Physical Adaptations to Different Exercise Training Modes in Young and Old Humans","SRS2074810","","922.38","1","14505500","1479561000","","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX2676304","GSM2551327: 11B Young HIIT PostTraining; Homo sapiens; RNA-Seq","Homo sapiens","Illumina HiSeq 2000","GEO","SRP102542","Enhanced Protein Translation Underlies Improved Metabolic and Physical Adaptations to Different Exercise Training Modes in Young and Old Humans","SRS2074809","","1432.42","1","22587657","2303941014","","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX2676303","GSM2551326: 11A Young HIIT PreTraining; Homo sapiens; RNA-Seq","Homo sapiens","Illumina HiSeq 2000","GEO","SRP102542","Enhanced Protein Translation Underlies Improved Metabolic and Physical Adaptations to Different Exercise Training Modes in Young and Old Humans","SRS2074806","","844.15","1","13279108","1354469016","","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX2676302","GSM2551325: 10C Young Combined PostTraining; Homo sapiens; RNA-Seq","Homo sapiens","Illumina HiSeq 2000","GEO","SRP102542","Enhanced Protein Translation Underlies Improved Metabolic and Physical Adaptations to Different Exercise Training Modes in Young and Old Humans","SRS2074807","","1341.05","1","21121580","2154401160","","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX2676301","GSM2551324: 10B Young Combined PreTraining; Homo sapiens; RNA-Seq","Homo sapiens","Illumina HiSeq 2000","GEO","SRP102542","Enhanced Protein Translation Underlies Improved Metabolic and Physical Adaptations to Different Exercise Training Modes in Young and Old Humans","SRS2074808","","943.64","1","14941036","1523985672","","RNA-Seq","TRANSCRIPTOMIC","cDNA"
